label,method,beta,se,pval,pct_effect,nobs
OLS | Full FE | T1 | value,OLS,-0.5701304695596385,0.02497849433605802,0.0,-43.45483403423502,1015978
OLS | Reduced FE | T1 | value,OLS,-1.6827089353569877,0.02101532330458064,0.0,-81.41302157940362,1016147
OLS | Full FE | T2 | value,OLS,-0.5697455201676365,0.02544631736370677,0.0,-43.43306281683624,1015978
OLS | Full FE | EU | value,OLS,-0.5076141642287235,0.024255332696758437,0.0,-39.807002692114104,1015978
OLS | Full FE | T1 | unit_value,OLS,-0.057632043031715464,0.014014735542584023,3.9203178579860776e-05,-5.6002766100102015,989898
OLS | Full FE | T1 | quantity,OLS,-0.5393477324834474,0.031917759370871934,0.0,-41.68715158777307,989898
PPML | Full FE | T1 | value (Top50),PPML,-0.47260996587714627,0.08871209665099526,9.95968185701912e-08,-37.662683942810894,842264
PPML | Full FE | T2 | value (Top50),PPML,-0.5228647268210119,0.09104722568770465,9.313143367606358e-09,-40.71801538031363,842264
PPML | Full FE | EU | value (Top50),PPML,-0.48741974885686995,0.08353040645990106,5.371404432352733e-09,-38.57908347664074,842264
PPML | Full FE | T1 | quantity (Top50),PPML,-0.5005253313059328,0.09097871177580906,3.764339640000003e-08,-39.378788615253825,825386
